Pilihan Sekolah,Zona,Jumlah Pendaftar,Jarak Maksimal (meter)
SMP NEGERI 1 BOGOR,Zona 1,83,1067.54
SMP NEGERI 1 BOGOR,Zona 2,25,1107.39
SMP NEGERI 1 BOGOR,Zona 3,13,1503.83
SMP NEGERI 1 BOGOR,Zona 4,6,2543.89
SMP NEGERI 1 BOGOR,Zona 5,8,2944.11
SMP NEGERI 1 BOGOR,Zona 6,4,51057.06
SMP NEGERI 1 BOGOR,Zona 7,2,34669.71
SMP NEGERI 10 BOGOR,Zona 1,83,496.44
SMP NEGERI 10 BOGOR,Zona 2,26,764.97
SMP NEGERI 10 BOGOR,Zona 3,13,624.3
SMP NEGERI 10 BOGOR,Zona 4,6,1408.94
SMP NEGERI 10 BOGOR,Zona 5,8,3098.31
SMP NEGERI 10 BOGOR,Zona 6,4,42291.81
SMP NEGERI 10 BOGOR,Zona 7,2,48552.62
SMP NEGERI 11 BOGOR,Zona 1,76,2372.38
SMP NEGERI 11 BOGOR,Zona 2,73,1698.37
SMP NEGERI 11 BOGOR,Zona 3,18,1841.18
SMP NEGERI 11 BOGOR,Zona 4,9,1902.15
SMP NEGERI 11 BOGOR,Zona 5,12,5086.3
SMP NEGERI 11 BOGOR,Zona 6,4,100728.48
SMP NEGERI 11 BOGOR,Zona 7,3,48671.17
SMP NEGERI 12 BOGOR,Zona 1,93,598.74
SMP NEGERI 12 BOGOR,Zona 2,29,800.33
SMP NEGERI 12 BOGOR,Zona 3,14,1218.76
SMP NEGERI 12 BOGOR,Zona 4,7,1973.6
SMP NEGERI 12 BOGOR,Zona 5,11,2228.9
SMP NEGERI 12 BOGOR,Zona 6,3,43415.59
SMP NEGERI 12 BOGOR,Zona 7,2,20902.75
SMP NEGERI 13 BOGOR,Zona 1,76,513.61
SMP NEGERI 13 BOGOR,Zona 2,23,1483.79
SMP NEGERI 13 BOGOR,Zona 3,12,1605.9
SMP NEGERI 13 BOGOR,Zona 4,6,2249.01
SMP NEGERI 13 BOGOR,Zona 5,9,2157.26
SMP NEGERI 13 BOGOR,Zona 6,2,53369.36
SMP NEGERI 13 BOGOR,Zona 7,2,39380.27
SMP NEGERI 14 BOGOR,Zona 1,98,603.04
SMP NEGERI 14 BOGOR,Zona 2,30,1695.64
SMP NEGERI 14 BOGOR,Zona 3,15,2364.95
SMP NEGERI 14 BOGOR,Zona 4,7,4717.29
SMP NEGERI 14 BOGOR,Zona 5,11,1149.5
SMP NEGERI 14 BOGOR,Zona 6,3,112946.89
SMP NEGERI 14 BOGOR,Zona 7,3,39268.13
SMP NEGERI 15 BOGOR,Zona 1,101,470.43
SMP NEGERI 15 BOGOR,Zona 2,29,1391.55
SMP NEGERI 15 BOGOR,Zona 3,5,4446.7
SMP NEGERI 15 BOGOR,Zona 4,7,7782.29
SMP NEGERI 15 BOGOR,Zona 5,9,476.69
SMP NEGERI 15 BOGOR,Zona 6,5,100809.15
SMP NEGERI 15 BOGOR,Zona 7,2,36893.58
SMP NEGERI 16,Zona 1,92,529.41
SMP NEGERI 16,Zona 2,29,1346.91
SMP NEGERI 16,Zona 3,14,2707.08
SMP NEGERI 16,Zona 4,7,4575.24
SMP NEGERI 16,Zona 5,13,1421.17
SMP NEGERI 16,Zona 6,1,123569.56
SMP NEGERI 16,Zona 7,2,24558.93
SMP NEGERI 17 BOGOR,Zona 1,128,1093.68
SMP NEGERI 17 BOGOR,Zona 2,34,4411.43
SMP NEGERI 17 BOGOR,Zona 3,9,4284.65
SMP NEGERI 17 BOGOR,Zona 4,9,4583.48
SMP NEGERI 17 BOGOR,Zona 5,8,21083.78
SMP NEGERI 17 BOGOR,Zona 6,1,39808.49
SMP NEGERI 17 BOGOR,Zona 7,5,475657.44
SMP NEGERI 18 KOTA BOGOR,Zona 1,112,868.23
SMP NEGERI 18 KOTA BOGOR,Zona 2,35,1758.78
SMP NEGERI 18 KOTA BOGOR,Zona 3,17,1551.49
SMP NEGERI 18 KOTA BOGOR,Zona 4,9,4147.5
SMP NEGERI 18 KOTA BOGOR,Zona 5,12,950.57
SMP NEGERI 18 KOTA BOGOR,Zona 6,4,169560.58
SMP NEGERI 18 KOTA BOGOR,Zona 7,3,283799.2
SMP NEGERI 19 BOGOR,Zona 1,113,521.66
SMP NEGERI 19 BOGOR,Zona 2,33,1590.62
SMP NEGERI 19 BOGOR,Zona 3,9,4311.76
SMP NEGERI 19 BOGOR,Zona 4,8,2304.55
SMP NEGERI 19 BOGOR,Zona 5,10,718.81
SMP NEGERI 19 BOGOR,Zona 6,5,84361.94
SMP NEGERI 19 BOGOR,Zona 7,3,31679.14
SMP NEGERI 2,Zona 1,92,1254.73
SMP NEGERI 2,Zona 2,29,1686.16
SMP NEGERI 2,Zona 3,14,2356.76
SMP NEGERI 2,Zona 4,7,1537.57
SMP NEGERI 2,Zona 5,9,3393.77
SMP NEGERI 2,Zona 6,5,45705.16
SMP NEGERI 2,Zona 7,2,34847.89
SMP NEGERI 20,Zona 1,109,858.82
SMP NEGERI 20,Zona 2,34,2730.91
SMP NEGERI 20,Zona 3,17,2981.85
SMP NEGERI 20,Zona 4,8,2256.98
SMP NEGERI 20,Zona 5,12,5396.82
SMP NEGERI 20,Zona 6,4,106560.08
SMP NEGERI 20,Zona 7,3,40991.44
SMP NEGERI 3 BOGOR,Zona 1,83,404.26
SMP NEGERI 3 BOGOR,Zona 2,25,1458.45
SMP NEGERI 3 BOGOR,Zona 3,13,2024.45
SMP NEGERI 3 BOGOR,Zona 4,6,2366.02
SMP NEGERI 3 BOGOR,Zona 5,8,3492.75
SMP NEGERI 3 BOGOR,Zona 6,4,30602.21
SMP NEGERI 3 BOGOR,Zona 7,2,37809.68
SMP NEGERI 4 BOGOR,Zona 1,92,695.85
SMP NEGERI 4 BOGOR,Zona 2,29,732.62
SMP NEGERI 4 BOGOR,Zona 3,14,3818.6
SMP NEGERI 4 BOGOR,Zona 4,7,2007.81
SMP NEGERI 4 BOGOR,Zona 5,9,2421.37
SMP NEGERI 4 BOGOR,Zona 6,5,108868.7
SMP NEGERI 4 BOGOR,Zona 7,2,32348.17
SMP NEGERI 5,Zona 1,92,509.72
SMP NEGERI 5,Zona 2,29,1406.72
SMP NEGERI 5,Zona 3,14,2537.69
SMP NEGERI 5,Zona 4,7,2740.04
SMP NEGERI 5,Zona 5,9,3020.75
SMP NEGERI 5,Zona 6,5,43925.49
SMP NEGERI 5,Zona 7,2,26587.62
SMP NEGERI 6,Zona 1,92,476.5
SMP NEGERI 6,Zona 2,29,559.92
SMP NEGERI 6,Zona 3,14,4571.67
SMP NEGERI 6,Zona 4,7,1541.73
SMP NEGERI 6,Zona 5,9,1594.53
SMP NEGERI 6,Zona 6,5,199834.75
SMP NEGERI 6,Zona 7,2,33826.65
SMP NEGERI 7 BOGOR,Zona 1,92,769.76
SMP NEGERI 7 BOGOR,Zona 2,29,1518.38
SMP NEGERI 7 BOGOR,Zona 3,14,419.14
SMP NEGERI 7 BOGOR,Zona 4,7,2251.41
SMP NEGERI 7 BOGOR,Zona 5,11,2593.01
SMP NEGERI 7 BOGOR,Zona 6,3,134941.92
SMP NEGERI 7 BOGOR,Zona 7,2,33220.59
SMP NEGERI 8 BOGOR,Zona 1,92,515.55
SMP NEGERI 8 BOGOR,Zona 2,29,1850.44
SMP NEGERI 8 BOGOR,Zona 3,14,2321.4
SMP NEGERI 8 BOGOR,Zona 4,7,3964.76
SMP NEGERI 8 BOGOR,Zona 5,9,3166.22
SMP NEGERI 8 BOGOR,Zona 6,5,161820.59
SMP NEGERI 8 BOGOR,Zona 7,2,37119.59
SMP NEGERI 9 BOGOR,Zona 1,92,467.14
SMP NEGERI 9 BOGOR,Zona 2,29,565.33
SMP NEGERI 9 BOGOR,Zona 3,14,1178.61
SMP NEGERI 9 BOGOR,Zona 4,7,6403.67
SMP NEGERI 9 BOGOR,Zona 5,10,2559.0
SMP NEGERI 9 BOGOR,Zona 6,4,211800.01
SMP NEGERI 9 BOGOR,Zona 7,2,34979.41
