"","nama_sekolah","latitude","longitude","image","warna_sekolah"
"1","SMP NEGERI 1 BOGOR",-6.597277162,106.7935379,"https://pbs.twimg.com/profile_images/2703963101/9d75e11c4266a5f3a87a7b69ab1421c9_400x400.png","#7D74D1"
"2","SMP NEGERI 2",-6.592539068,106.7936922,"https://smpn2bogor.sch.id/media_library/images/d9fed28f0dc9ae9f55f012bf26b9192d.png","#729B9C"
"3","SMP NEGERI 3 BOGOR",-6.597027373,106.8071096,"https://s.sim.siap-online.com//upload/sekolah/20220377.160620124311.jpg","#DDD2DD"
"4","SMP NEGERI 4 BOGOR",-6.591598734,106.7888012,"https://media.licdn.com/dms/image/C560BAQECADziFM_PKQ/company-logo_200_200/0/1598365369284?e=2147483647&v=beta&t=hGlWcROWH5FHP3H4EVvxTOZF0BoA9kepse_f3HlgY3E","#DA9349"
"5","SMP NEGERI 5",-6.568999968,106.8005687,"https://kk.sttbandung.ac.id/_sepakbola/_baca_image.php?td=15&kodegb=SMPN5Bogor.jpg","#793EDB"
"6","SMP NEGERI 6",-6.578425264,106.7721398,"https://arsip.siap-ppdb.com/2017/statik/default/img/logo_sekolah/upload/sekolah/20220380.png","#D2D19F"
"7","SMP NEGERI 7 BOGOR",-6.599458998,106.7909376,"https://i.imgur.com/tv6P3MU.png","#C7E8D7"
"8","SMP NEGERI 8 BOGOR",-6.569188829,106.8064429,"https://storage.googleapis.com/s.mysch.id/picture/80973212logodelapa2018.png","#86AFE4"
"9","SMP NEGERI 9 BOGOR",-6.616028954,106.8003359,"https://smpn9bogor.sch.id/wp-content/uploads/2019/07/LOGO-SMPN9-300x300.png","#DF5768"
"10","SMP NEGERI 10 BOGOR",-6.629812182,106.8122835,"https://www.smpn10bogor.sch.id/po-includes/images/logo.png","#73D8E6"
"11","SMP NEGERI 11 BOGOR",-6.588699913,106.7992997,"https://yt3.googleusercontent.com/ytc/AOPolaRZHG22KvBaxyVZvdFih9HuqB9o-3-okuitTNDmgQ=s900-c-k-c0x00ffffff-no-rj","#75E6C5"
"12","SMP NEGERI 12 BOGOR",-6.570864673,106.7984565,"https://pbs.twimg.com/profile_images/823092033992605696/vdq6_Zqx_400x400.jpg","#7BDD93"
"13","SMP NEGERI 13 BOGOR",-6.632973112,106.8026324,"https://s.sim.siap-online.com//upload/sekolah/20220389.160617113001.jpg","#CF5DA0"
"14","SMP NEGERI 14 BOGOR",-6.55525267,106.7472628,"https://storage.googleapis.com/s.mysch.id/picture/34778045logo14.png","#79E852"
"15","SMP NEGERI 15 BOGOR",-6.546928864,106.8224317,"https://scontent.fcgk31-1.fna.fbcdn.net/v/t39.30808-6/302152284_573876231096970_7267088346987864585_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeHlx6hOKBwwZTgC4cNLUSZZSiC-ZXOutf1KIL5lc661_R2i4dbgm6nRNFJEegXU_UbWYJPgS_xMl65KiTDqW8cy&_nc_ohc=bzhrh6T12JsAX_FeFph&_nc_ht=scontent.fcgk31-1.fna&oh=00_AfBcUV9nH-NrOdiGTJJtkET6832lQg0Vf-HZ39Q-SWNIvA&oe=64BAA237","#D78AE8"
"16","SMP NEGERI 16",-6.533038605,106.7730812,"https://scontent.fcgk31-1.fna.fbcdn.net/v/t31.18172-8/14231322_943682632408354_1774777335648620041_o.jpg?_nc_cat=108&ccb=1-7&_nc_sid=9267fe&_nc_eui2=AeEMrzC4EBngOiB7mh-sS2lWB5kJ6ymAuhsHmQnrKYC6G8qUgDlYYVW_G9nU1_268LX06riucydWDmr7GeYScqp0&_nc_ohc=XZr3m7slJ1MAX_J3aoy&_nc_ht=scontent.fcgk31-1.fna&oh=00_AfAOgSsOw2hOwzz7zMwFVWtmFdkBb4svg00afz0yfWPmMw&oe=64DCA157","#D49C91"
"17","SMP NEGERI 17 BOGOR",-6.673353837,106.8407986,"https://scontent.fcgk31-1.fna.fbcdn.net/v/t39.30808-6/294994683_390228006538540_3114377165687561060_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeGM63JMzvG2sSY6HkmVmxoRXCjHxuqOCUlcKMfG6o4JSbMUmLD96i_TIHIQXDgmYArnwSvg2laDQWrlekzQ3Xmg&_nc_ohc=M1wsp1UqoPIAX-r9Mz4&_nc_ht=scontent.fcgk31-1.fna&oh=00_AfDMy_ZjAVPi5AvvtkeRV43HshQmf0RyQJqaX1q0cXEeAA&oe=64B9DAD4","#C8DC75"
"18","SMP NEGERI 18 KOTA BOGOR",-6.612014239,106.8258478,"https://yt3.googleusercontent.com/ytc/AOPolaSVXf5wbb02sTbRTsY0wgk1JmrWY0C4SiG80oHy=s900-c-k-c0x00ffffff-no-rj","#D3A4CF"
"19","SMP NEGERI 19 BOGOR",-6.546625505,106.8099343,"https://smpn19bogor.sch.id/wp-content/uploads/2021/12/LOGO-19.png","#DB45D6"
"20","SMP NEGERI 20",-6.584018219,106.799991,"https://yt3.googleusercontent.com/ytc/AOPolaR5W2fY-SKiP6PJv_vvxmVFHbL63nm59Sobhiar=s900-c-k-c0x00ffffff-no-rj","#DCDB3F"
