Pilihan Sekolah,Zona,Jarak (meter)
SMP NEGERI 1 BOGOR,Zona 1,506.48849162011174
SMP NEGERI 1 BOGOR,Zona 2,1410.5963829787233
SMP NEGERI 1 BOGOR,Zona 3,1941.4375
SMP NEGERI 1 BOGOR,Zona 4,4241.278139534884
SMP NEGERI 1 BOGOR,Zona 5,5805.497948717948
SMP NEGERI 1 BOGOR,Zona 6,67286.91125
SMP NEGERI 1 BOGOR,Zona 7,270410.20416666666
SMP NEGERI 10 BOGOR,Zona 1,1118.6925229357798
SMP NEGERI 10 BOGOR,Zona 2,1400.473611111111
SMP NEGERI 10 BOGOR,Zona 3,1729.6709090909092
SMP NEGERI 10 BOGOR,Zona 4,2628.6827272727273
SMP NEGERI 10 BOGOR,Zona 5,4690.315333333333
SMP NEGERI 10 BOGOR,Zona 6,36334.77
SMP NEGERI 10 BOGOR,Zona 7,453381.4066666667
SMP NEGERI 11 BOGOR,Zona 1,632.7915094339622
SMP NEGERI 11 BOGOR,Zona 2,2331.1456666666663
SMP NEGERI 11 BOGOR,Zona 3,2840.8288461538464
SMP NEGERI 11 BOGOR,Zona 4,3098.1535714285715
SMP NEGERI 11 BOGOR,Zona 5,6510.461904761905
SMP NEGERI 11 BOGOR,Zona 6,26142.235
SMP NEGERI 11 BOGOR,Zona 7,286345.61285714287
SMP NEGERI 12 BOGOR,Zona 1,1171.701283018868
SMP NEGERI 12 BOGOR,Zona 2,1646.374864864865
SMP NEGERI 12 BOGOR,Zona 3,1974.67
SMP NEGERI 12 BOGOR,Zona 4,3613.496875
SMP NEGERI 12 BOGOR,Zona 5,4754.2198148148145
SMP NEGERI 12 BOGOR,Zona 6,31470.87
SMP NEGERI 12 BOGOR,Zona 7,36698.554444444446
SMP NEGERI 13 BOGOR,Zona 1,3956.58
SMP NEGERI 13 BOGOR,Zona 2,1439.78
SMP NEGERI 13 BOGOR,Zona 3,1482.256
SMP NEGERI 13 BOGOR,Zona 4,2997.0171428571425
SMP NEGERI 13 BOGOR,Zona 5,4663.193888888889
SMP NEGERI 13 BOGOR,Zona 6,46780.54
SMP NEGERI 13 BOGOR,Zona 7,93272.38200000001
