No,Nama Sekolah,NPSN,Zonasi (55%),Afirmasi dan ABK (20%),Perpindahan Ortu dan Mutasi GTK (5%),Prestasi Akademik dan Non Akademik (20%),Rombel,Jumlah
1,SMP NEGERI 1 BOGOR,20220385,141,51,13,51,8,256
2,SMP NEGERI 2,20220376,158,58,14,58,9,288
3,SMP NEGERI 3 BOGOR,20220377,141,51,13,51,8,256
4,SMP NEGERI 4 BOGOR,20220378,158,58,14,58,9,288
5,SMP NEGERI 5,20220379,158,58,14,58,9,288
6,SMP NEGERI 6,20220380,158,58,14,58,9,288
7,SMP NEGERI 7 BOGOR,20220381,158,58,14,58,9,288
8,SMP NEGERI 8 BOGOR,20220382,158,58,14,58,9,288
9,SMP NEGERI 9 BOGOR,20220354,158,58,14,58,9,288
10,SMP NEGERI 10 BOGOR,20220386,141,51,13,51,8,256
11,SMP NEGERI 11 BOGOR,20220387,158,58,14,58,9,288
12,SMP NEGERI 12 BOGOR,20220388,158,58,14,58,9,288
13,SMP NEGERI 13 BOGOR,20220389,123,45,11,45,7,224
14,SMP NEGERI 14 BOGOR,20220390,158,58,14,58,9,288
15,SMP NEGERI 15 BOGOR,20220391,158,58,14,58,9,288
16,SMP NEGERI 16,20220392,158,58,14,58,9,288
17,SMP NEGERI 17 BOGOR,20220384,141,51,13,51,8,256
18,SMP NEGERI 18 KOTA BOGOR,20220383,158,58,14,58,9,288
19,SMP NEGERI 19 BOGOR,20220375,158,58,14,58,9,288
20,SMP NEGERI 20,20258321,141,51,13,51,8,256
