Pilihan Sekolah,Zona,Jumlah Pendaftar,Jarak Maksimal (meter)
SMP NEGERI 1 BOGOR,Zona 1,82,243.26
SMP NEGERI 1 BOGOR,Zona 2,25,1563.39
SMP NEGERI 1 BOGOR,Zona 3,13,1578.82
SMP NEGERI 1 BOGOR,Zona 4,6,2695.45
SMP NEGERI 1 BOGOR,Zona 5,8,3336.66
SMP NEGERI 1 BOGOR,Zona 6,4,51057.06
SMP NEGERI 1 BOGOR,Zona 7,2,35216.8
SMP NEGERI 10 BOGOR,Zona 1,82,496.44
SMP NEGERI 10 BOGOR,Zona 2,25,1069.17
SMP NEGERI 10 BOGOR,Zona 3,13,2212.32
SMP NEGERI 10 BOGOR,Zona 4,6,2541.85
SMP NEGERI 10 BOGOR,Zona 5,8,3131.4
SMP NEGERI 10 BOGOR,Zona 6,4,42291.81
SMP NEGERI 10 BOGOR,Zona 7,2,390533.61
SMP NEGERI 11 BOGOR,Zona 1,53,1608.82
SMP NEGERI 11 BOGOR,Zona 2,28,5303.85
SMP NEGERI 11 BOGOR,Zona 3,14,2721.08
SMP NEGERI 11 BOGOR,Zona 4,7,2136.96
SMP NEGERI 11 BOGOR,Zona 5,9,5536.88
SMP NEGERI 11 BOGOR,Zona 6,2,30427.19
SMP NEGERI 11 BOGOR,Zona 7,2,40590.29
SMP NEGERI 12 BOGOR,Zona 1,92,640.72
SMP NEGERI 12 BOGOR,Zona 2,28,876.68
SMP NEGERI 12 BOGOR,Zona 3,14,1510.97
SMP NEGERI 12 BOGOR,Zona 4,7,3254.7
SMP NEGERI 12 BOGOR,Zona 5,9,2228.9
SMP NEGERI 12 BOGOR,Zona 6,3,43415.59
SMP NEGERI 12 BOGOR,Zona 7,2,20902.75
SMP NEGERI 13 BOGOR,Zona 1,72,501.51
SMP NEGERI 13 BOGOR,Zona 2,13,2152.19
SMP NEGERI 13 BOGOR,Zona 3,5,1712.94
SMP NEGERI 13 BOGOR,Zona 4,6,3022.49
SMP NEGERI 13 BOGOR,Zona 5,7,2157.26
